
Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 11:57:59 2026
Timers Off: Sat Jul 18 11:57:59 2026

Wall Time:        0.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:00:00 2026
Timers Off: Sat Jul 18 12:00:36 2026

Wall Time:       36.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      0.017u      0.000s      0.008w     53 calls
HF: Guess                           :      0.617u      0.300s      1.421w     53 calls
| SAD Guess                         :      0.583u      0.267s      1.369w     50 calls
HF: Form G                          :     27.450u      0.850s     17.063w    514 calls
| RV: Form V                        :     27.217u      0.800s     16.929w    514 calls
| | Properties                      :      8.033u      0.217s      4.859w 285541 calls
| | Functional                      :     10.033u      0.117s      6.041w 285541 calls
| | V_xc                            :      8.617u      0.083s      5.541w 285541 calls
| JK: D                             :      0.000u      0.000s      0.001w    514 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w    514 calls
| JK: JK                            :      0.217u      0.033s      0.114w    514 calls
| | DFH: compute_JK()               :      0.200u      0.033s      0.113w    514 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    514 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.025w    514 calls
| | | DFH: compute_K                :      0.150u      0.000s      0.069w    514 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    514 calls
HF: Form F                          :      0.000u      0.000s      0.002w    514 calls
HF: Form D                          :      0.000u      0.017s      0.001w    514 calls
HF: DIIS                            :      1.450u      0.217s      1.283w    464 calls
HF: Form C                          :      0.150u      0.000s      0.095w    464 calls
Grad: V T Perturb                   :      0.050u      0.000s      0.012w     53 calls
Grad: S                             :      0.017u      0.000s      0.003w     53 calls
Grad: JK                            :      0.933u      0.217s      1.292w     53 calls
| JKGrad: Amn                       :      0.133u      0.050s      0.133w     53 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.019w     53 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     53 calls
| JKGrad: AB                        :      0.217u      0.033s      0.114w     53 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.003w     53 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     53 calls
| JKGrad: ABx                       :      0.100u      0.017s      0.050w     53 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w     53 calls
| JKGrad: Amnx                      :      0.483u      0.033s      0.360w     53 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.018w     53 calls
Grad: XC                            :      7.617u      0.117s      4.645w     53 calls
| Properties                        :      3.767u      0.000s      2.140w  29440 calls
| Functional                        :      0.900u      0.017s      0.615w  29440 calls
| V_xc gradient                     :      2.833u      0.000s      1.819w  29440 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:01:05 2026
Timers Off: Sat Jul 18 12:01:05 2026

Wall Time:        0.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:01:11 2026
Timers Off: Sat Jul 18 12:01:12 2026

Wall Time:        0.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:07:49 2026
Timers Off: Sat Jul 18 12:08:25 2026

Wall Time:       36.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.733u      0.033s      0.635w     39 calls
build grid                          :      0.383u      0.017s      0.352w     39 calls
post-process grid                   :      0.350u      0.017s      0.282w     39 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.046w     39 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.079w    261 calls
DFH: initialize()                   :      0.300u      0.050s      1.173w     39 calls
DFH: AO Construction                :      0.083u      0.000s      0.055w     39 calls
DFH: AO-Met. Contraction            :      0.067u      0.000s      0.031w     39 calls
HF: Form core H                     :      0.000u      0.017s      0.465w     39 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w     39 calls
HF: Guess                           :      0.533u      0.150s      1.570w     39 calls
SAD Guess                           :      0.533u      0.150s      1.442w     38 calls
HF: Form G                          :     23.783u      0.700s     14.888w    405 calls
RV: Form V                          :     23.633u      0.683s     14.767w    405 calls
Properties                          :     11.217u      0.333s      6.631w 260184 calls
Functional                          :      8.917u      0.100s      5.853w 260184 calls
V_xc                                :      8.233u      0.117s      5.027w 225635 calls
JK: D                               :      0.000u      0.000s      0.001w    431 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    431 calls
JK: JK                              :      0.150u      0.017s      0.140w    431 calls
DFH: compute_JK()                   :      0.150u      0.017s      0.138w    431 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    431 calls
DFH: compute_J                      :      0.000u      0.000s      0.032w    431 calls
DFH: compute_K                      :      0.150u      0.000s      0.085w    431 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    431 calls
HF: Form F                          :      0.000u      0.017s      0.002w    405 calls
HF: Form D                          :      0.000u      0.000s      0.001w    405 calls
HF: DIIS                            :      1.200u      0.233s      1.204w    367 calls
HF: Form C                          :      0.100u      0.000s      0.086w    367 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.014w     36 calls
Grad: S                             :      0.000u      0.000s      0.002w     36 calls
Grad: JK                            :      0.717u      0.133s      1.532w     36 calls
JKGrad: Amn                         :      0.183u      0.017s      0.093w     36 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     36 calls
JKGrad: AB                          :      0.117u      0.050s      0.077w     36 calls
JKGrad: UV                          :      0.000u      0.000s      0.002w     36 calls
JKGrad: ABx                         :      0.000u      0.017s      0.036w     36 calls
JKGrad: Amnx                        :      0.417u      0.000s      0.282w     36 calls
Grad: XC                            :      5.833u      0.083s      3.545w     36 calls
V_xc gradient                       :      2.517u      0.000s      1.421w  20060 calls
RV: Form Vx                         :      5.250u      0.133s      3.192w     26 calls
Derivative Properties               :      1.783u      0.033s      1.041w  40689 calls
V_XCd                               :      1.483u      0.033s      1.003w  40689 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.733u      0.033s      0.635w     39 calls
| build grid                        :      0.383u      0.017s      0.352w     39 calls
| post-process grid                 :      0.350u      0.017s      0.282w     39 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.046w     39 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.029w     39 calls
DFH: initialize()                   :      0.300u      0.050s      1.173w     39 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.015w     78 calls
| DFH: AO Construction              :      0.083u      0.000s      0.055w     39 calls
| DFH: AO-Met. Contraction          :      0.067u      0.000s      0.031w     39 calls
HF: Form core H                     :      0.000u      0.017s      0.465w     39 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w     39 calls
HF: Guess                           :      0.533u      0.150s      1.570w     39 calls
| SAD Guess                         :      0.533u      0.150s      1.442w     38 calls
HF: Form G                          :     23.783u      0.700s     14.888w    405 calls
| RV: Form V                        :     23.633u      0.683s     14.767w    405 calls
| | Properties                      :      7.483u      0.300s      4.315w 225635 calls
| | Functional                      :      7.567u      0.067s      5.029w 225635 calls
| | V_xc                            :      8.233u      0.117s      5.027w 225635 calls
| JK: D                             :      0.000u      0.000s      0.001w    405 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    405 calls
| JK: JK                            :      0.133u      0.017s      0.111w    405 calls
| | DFH: compute_JK()               :      0.133u      0.017s      0.110w    405 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    405 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.027w    405 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.066w    405 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    405 calls
HF: Form F                          :      0.000u      0.017s      0.002w    405 calls
HF: Form D                          :      0.000u      0.000s      0.001w    405 calls
HF: DIIS                            :      1.200u      0.233s      1.204w    367 calls
HF: Form C                          :      0.100u      0.000s      0.086w    367 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.014w     36 calls
Grad: S                             :      0.000u      0.000s      0.002w     36 calls
Grad: JK                            :      0.717u      0.133s      1.532w     36 calls
| JKGrad: Amn                       :      0.183u      0.017s      0.093w     36 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.014w     36 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     36 calls
| JKGrad: AB                        :      0.117u      0.050s      0.077w     36 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w     36 calls
| JKGrad: UV                        :      0.000u      0.000s      0.002w     36 calls
| JKGrad: ABx                       :      0.000u      0.017s      0.036w     36 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     36 calls
| JKGrad: Amnx                      :      0.417u      0.000s      0.282w     36 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.016w     36 calls
Grad: XC                            :      5.833u      0.083s      3.545w     36 calls
| Properties                        :      2.533u      0.000s      1.638w  20060 calls
| Functional                        :      0.700u      0.033s      0.438w  20060 calls
| V_xc gradient                     :      2.517u      0.000s      1.421w  20060 calls
JK: D                               :      0.000u      0.000s      0.000w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
JK: JK                              :      0.017u      0.000s      0.029w     26 calls
| DFH: compute_JK()                 :      0.017u      0.000s      0.029w     26 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     26 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.004w     26 calls
| | DFH: compute_K                  :      0.017u      0.000s      0.018w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     26 calls
RV: Form Vx                         :      5.250u      0.133s      3.192w     26 calls
| Properties                        :      1.200u      0.033s      0.678w  14489 calls
| Functional                        :      0.650u      0.000s      0.386w  14489 calls
| Derivative Properties             :      1.783u      0.033s      1.041w  40689 calls
| V_XCd                             :      1.483u      0.033s      1.003w  40689 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:09:17 2026
Timers Off: Sat Jul 18 13:51:58 2026

Wall Time:     6160.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     99.617u     10.683s     45.491w   4015 calls
build grid                          :     68.967u      6.750s     23.143w   4015 calls
post-process grid                   :     30.283u      3.883s     22.180w   4015 calls
DFH: sparsity prep                  :      5.233u      0.967s      3.836w   4015 calls
Libint2ERI::Libint2ERI              :     13.617u     11.133s     15.519w 123995 calls
DFH: initialize()                   :     80.867u    109.267s    334.959w   4015 calls
DFH: AO Construction                :     14.133u      3.517s      5.346w   4015 calls
DFH: AO-Met. Contraction            :      6.733u      3.700s      4.249w   4015 calls
HF: Form core H                     :     16.767u    119.083s    232.731w   4015 calls
HF: Form S/X                        :      0.917u      1.533s      2.620w   4015 calls
HF: Guess                           :    137.067u    556.800s   1019.263w   4015 calls
SAD Guess                           :    133.617u    552.567s    978.680w   4014 calls
HF: Form G                          :  26142.600u    289.917s   1745.415w  44070 calls
RV: Form V                          :  26078.483u    143.800s   1646.187w  44070 calls
Properties                          :   6844.858p                         28976489 calls
Functional                          :   6381.949p                         28976489 calls
V_xc                                :   4984.354p                         24516599 calls
JK: D                               :      0.183u      0.167s      0.196w  48572 calls
JK: USO2AO                          :      0.167u      0.017s      0.114w  48572 calls
JK: JK                              :     78.117u    143.133s     88.348w  48572 calls
DFH: compute_JK()                   :     77.883u    143.050s     88.163w  48572 calls
DFH: Grabbing AOs                   :      0.000u      0.100s      0.067w  48572 calls
DFH: compute_J                      :     20.717u     60.450s     31.132w  48572 calls
DFH: compute_K                      :     53.700u     45.133s     32.764w  48572 calls
JK: AO2USO                          :      0.000u      0.000s      0.030w  48572 calls
HF: Form F                          :      2.083u     15.900s      9.276w  44070 calls
HF: Form D                          :      0.167u      0.017s      0.109w  44070 calls
HF: DIIS                            :    103.767u     68.617s    141.534w  40056 calls
HF: Form C                          :     16.017u      0.033s      9.567w  40056 calls
Grad: V T Perturb                   :     18.850u     86.317s     69.685w   3515 calls
Grad: S                             :      8.100u     44.700s     36.245w   3515 calls
Grad: JK                            :    132.367u    113.367s    376.842w   3515 calls
JKGrad: Amn                         :     25.183u     18.017s     22.815w   3515 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.003w   3515 calls
JKGrad: AB                          :     31.050u     47.967s     50.182w   3515 calls
JKGrad: UV                          :      0.133u      0.950s      0.750w   3515 calls
JKGrad: ABx                         :     14.817u     17.117s     17.507w   3515 calls
JKGrad: Amnx                        :     60.633u     20.650s     28.233w   3515 calls
Grad: XC                            :  10901.900u     68.833s    687.254w   3515 calls
V_xc gradient                       :   1740.787p                         1955424 calls
RV: Form Vx                         :  13581.050u     64.917s    823.540w   4502 calls
Derivative Properties               :   2271.884p                         6965400 calls
V_XCd                               :   2294.246p                         6965400 calls

--------------------------------------------------------------------------------------
V: Grid                             :     99.617u     10.683s     45.491w   4015 calls
| build grid                        :     68.967u      6.750s     23.143w   4015 calls
| post-process grid                 :     30.283u      3.883s     22.180w   4015 calls
DFH: sparsity prep                  :      5.233u      0.967s      3.836w   4015 calls
| Libint2ERI::Libint2ERI            :      2.300u      0.933s      2.007w   4015 calls
DFH: initialize()                   :     80.867u    109.267s    334.959w   4015 calls
| Libint2ERI::Libint2ERI            :      4.833u      4.583s      6.032w  60225 calls
| DFH: AO Construction              :     14.133u      3.517s      5.346w   4015 calls
| DFH: AO-Met. Contraction          :      6.733u      3.700s      4.249w   4015 calls
HF: Form core H                     :     16.767u    119.083s    232.731w   4015 calls
HF: Form S/X                        :      0.917u      1.533s      2.620w   4015 calls
HF: Guess                           :    137.067u    556.800s   1019.263w   4015 calls
| SAD Guess                         :    133.617u    552.567s    978.680w   4014 calls
HF: Form G                          :  26142.600u    289.917s   1745.415w  44070 calls
| RV: Form V                        :  26078.483u    143.800s   1646.187w  44070 calls
| | Properties                      :   3924.285p                         24516599 calls
| | Functional                      :   4003.746p                         24516599 calls
| | V_xc                            :   4984.354p                         24516599 calls
| JK: D                             :      0.167u      0.133s      0.174w  44070 calls
| JK: USO2AO                        :      0.150u      0.017s      0.095w  44070 calls
| JK: JK                            :     58.333u    114.983s     74.035w  44070 calls
| | DFH: compute_JK()               :     58.100u    114.917s     73.870w  44070 calls
| | | DFH: Grabbing AOs             :      0.000u      0.100s      0.064w  44070 calls
| | | DFH: compute_J                :     14.817u     48.717s     25.937w  44070 calls
| | | DFH: compute_K                :     40.317u     33.050s     26.251w  44070 calls
| JK: AO2USO                        :      0.000u      0.000s      0.027w  44070 calls
HF: Form F                          :      2.083u     15.900s      9.276w  44070 calls
HF: Form D                          :      0.167u      0.017s      0.109w  44070 calls
HF: DIIS                            :    103.767u     68.617s    141.534w  40056 calls
HF: Form C                          :     16.017u      0.033s      9.567w  40056 calls
Grad: V T Perturb                   :     18.850u     86.317s     69.685w   3515 calls
Grad: S                             :      8.100u     44.700s     36.245w   3515 calls
Grad: JK                            :    132.367u    113.367s    376.842w   3515 calls
| JKGrad: Amn                       :     25.183u     18.017s     22.815w   3515 calls
| | Libint2ERI::Libint2ERI          :      2.067u      0.250s      1.418w   3515 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.003w   3515 calls
| JKGrad: AB                        :     31.050u     47.967s     50.182w   3515 calls
| | Libint2ERI::Libint2ERI          :      2.367u      4.467s      4.107w  49210 calls
| JKGrad: UV                        :      0.133u      0.950s      0.750w   3515 calls
| JKGrad: ABx                       :     14.817u     17.117s     17.507w   3515 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.467s      0.420w   3515 calls
| JKGrad: Amnx                      :     60.633u     20.650s     28.233w   3515 calls
| | Libint2ERI::Libint2ERI          :      1.800u      0.433s      1.535w   3515 calls
Grad: XC                            :  10901.900u     68.833s    687.254w   3515 calls
| Properties                        :   1927.934p                         1955424 calls
| Functional                        :   1514.881p                         1955424 calls
| V_xc gradient                     :   1740.787p                         1955424 calls
JK: D                               :      0.017u      0.033s      0.022w   4502 calls
JK: USO2AO                          :      0.017u      0.000s      0.019w   4502 calls
JK: JK                              :     19.783u     28.150s     14.313w   4502 calls
| DFH: compute_JK()                 :     19.783u     28.133s     14.293w   4502 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.003w   4502 calls
| | DFH: compute_J                  :      5.900u     11.733s      5.195w   4502 calls
| | DFH: compute_K                  :     13.383u     12.083s      6.513w   4502 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   4502 calls
RV: Form Vx                         :  13581.050u     64.917s    823.540w   4502 calls
| Properties                        :    992.639p                         2504466 calls
| Functional                        :    863.321p                         2504466 calls
| Derivative Properties             :   2271.884p                         6965400 calls
| V_XCd                             :   2294.246p                         6965400 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:26:11 2026
Timers Off: Sat Jul 18 15:12:51 2026

Wall Time:     9999.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    206.983u     20.817s     71.242w   4027 calls
build grid                          :    148.517u     12.583s     29.633w   4027 calls
post-process grid                   :     58.200u      8.200s     41.414w   4027 calls
DFH: sparsity prep                  :      6.867u      0.967s      4.626w   4027 calls
Libint2ERI::Libint2ERI              :     18.700u     12.767s     19.091w 124391 calls
DFH: initialize()                   :    191.717u    123.833s    451.499w   4027 calls
DFH: AO Construction                :     36.150u      4.583s      5.525w   4027 calls
DFH: AO-Met. Contraction            :     21.517u      4.933s      3.301w   4027 calls
HF: Form core H                     :     20.717u    103.883s    241.361w   4027 calls
HF: Form S/X                        :      1.700u      1.350s      1.520w   4027 calls
HF: Guess                           :    131.500u    501.150s    703.238w   4027 calls
SAD Guess                           :    127.750u    496.600s    659.012w   4026 calls
HF: Form G                          :  76372.383u    516.083s   4744.993w  44113 calls
RV: Form V                          :  74220.217u    367.283s   4491.608w  44113 calls
Properties                          :  14260.603p                         46266602 calls
Functional                          :  12872.648p                         46266602 calls
V_xc                                :  14319.330p                         38861472 calls
JK: D                               :      0.317u      0.200s      0.251w  48992 calls
JK: USO2AO                          :      0.117u      0.017s      0.122w  48992 calls
JK: JK                              :   2378.617u    152.567s    294.564w  48992 calls
DFH: compute_JK()                   :   2378.367u    152.417s    294.338w  48992 calls
DFH: Grabbing AOs                   :      0.050u      0.100s      0.038w  48992 calls
DFH: compute_J                      :     36.017u     60.817s     31.975w  48992 calls
DFH: compute_K                      :   2338.100u     56.383s    238.746w  48992 calls
JK: AO2USO                          :      0.050u      0.067s      0.036w  48992 calls
HF: Form F                          :      2.350u     16.617s      8.304w  44113 calls
HF: Form D                          :      0.233u      0.083s      0.155w  44113 calls
HF: DIIS                            :     93.533u     61.883s    151.687w  40087 calls
HF: Form C                          :     21.333u      0.200s     13.116w  40087 calls
Grad: V T Perturb                   :     26.067u     88.233s     55.729w   3527 calls
Grad: S                             :     12.050u     44.083s     27.507w   3527 calls
Grad: JK                            :    259.850u    139.217s    591.429w   3527 calls
JKGrad: Amn                         :     50.067u     23.583s     26.219w   3527 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.003w   3527 calls
JKGrad: AB                          :     72.050u     57.733s     43.505w   3527 calls
JKGrad: UV                          :      0.833u      4.467s      3.006w   3527 calls
JKGrad: ABx                         :     16.733u     18.683s     16.246w   3527 calls
JKGrad: Amnx                        :    119.550u     23.783s     30.545w   3527 calls
Grad: XC                            :   6703.850u     57.650s    424.165w   3527 calls
V_xc gradient                       :   1240.081p                         3107156 calls
RV: Form Vx                         :  26527.083u    121.467s   1586.248w   4879 calls
Derivative Properties               :   4621.406p                         12628692 calls
V_XCd                               :   4637.646p                         12628692 calls

--------------------------------------------------------------------------------------
V: Grid                             :    206.983u     20.817s     71.242w   4027 calls
| build grid                        :    148.517u     12.583s     29.633w   4027 calls
| post-process grid                 :     58.200u      8.200s     41.414w   4027 calls
DFH: sparsity prep                  :      6.867u      0.967s      4.626w   4027 calls
| Libint2ERI::Libint2ERI            :      3.317u      0.900s      2.621w   4027 calls
DFH: initialize()                   :    191.717u    123.833s    451.499w   4027 calls
| Libint2ERI::Libint2ERI            :      6.583u      5.417s      6.843w  60405 calls
| DFH: AO Construction              :     36.150u      4.583s      5.525w   4027 calls
| DFH: AO-Met. Contraction          :     21.517u      4.933s      3.301w   4027 calls
HF: Form core H                     :     20.717u    103.883s    241.361w   4027 calls
HF: Form S/X                        :      1.700u      1.350s      1.520w   4027 calls
HF: Guess                           :    131.500u    501.150s    703.238w   4027 calls
| SAD Guess                         :    127.750u    496.600s    659.012w   4026 calls
HF: Form G                          :  76372.383u    516.083s   4744.993w  44113 calls
| RV: Form V                        :  74220.217u    367.283s   4491.608w  44113 calls
| | Properties                      :  11049.274p                         38861472 calls
| | Functional                      :  10546.391p                         38861472 calls
| | V_xc                            :  14319.330p                         38861472 calls
| JK: D                             :      0.250u      0.167s      0.212w  44113 calls
| JK: USO2AO                        :      0.100u      0.017s      0.102w  44113 calls
| JK: JK                            :   2146.350u    118.183s    234.897w  44113 calls
| | DFH: compute_JK()               :   2146.133u    118.067s    234.706w  44113 calls
| | | DFH: Grabbing AOs             :      0.050u      0.083s      0.034w  44113 calls
| | | DFH: compute_J                :     26.350u     47.267s     22.404w  44113 calls
| | | DFH: compute_K                :   2116.050u     40.850s    192.692w  44113 calls
| JK: AO2USO                        :      0.050u      0.067s      0.033w  44113 calls
HF: Form F                          :      2.350u     16.617s      8.304w  44113 calls
HF: Form D                          :      0.233u      0.083s      0.155w  44113 calls
HF: DIIS                            :     93.533u     61.883s    151.687w  40087 calls
HF: Form C                          :     21.333u      0.200s     13.116w  40087 calls
Grad: V T Perturb                   :     26.067u     88.233s     55.729w   3527 calls
Grad: S                             :     12.050u     44.083s     27.507w   3527 calls
Grad: JK                            :    259.850u    139.217s    591.429w   3527 calls
| JKGrad: Amn                       :     50.067u     23.583s     26.219w   3527 calls
| | Libint2ERI::Libint2ERI          :      3.333u      0.433s      2.331w   3527 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.003w   3527 calls
| JKGrad: AB                        :     72.050u     57.733s     43.505w   3527 calls
| | Libint2ERI::Libint2ERI          :      2.450u      4.683s      4.502w  49378 calls
| JKGrad: UV                        :      0.833u      4.467s      3.006w   3527 calls
| JKGrad: ABx                       :     16.733u     18.683s     16.246w   3527 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.667s      0.663w   3527 calls
| JKGrad: Amnx                      :    119.550u     23.783s     30.545w   3527 calls
| | Libint2ERI::Libint2ERI          :      2.783u      0.667s      2.131w   3527 calls
Grad: XC                            :   6703.850u     57.650s    424.165w   3527 calls
| Properties                        :   1382.302p                         3107156 calls
| Functional                        :    833.946p                         3107156 calls
| V_xc gradient                     :   1240.081p                         3107156 calls
JK: D                               :      0.067u      0.033s      0.039w   4879 calls
JK: USO2AO                          :      0.017u      0.000s      0.020w   4879 calls
JK: JK                              :    232.267u     34.383s     59.667w   4879 calls
| DFH: compute_JK()                 :    232.233u     34.350s     59.632w   4879 calls
| | DFH: Grabbing AOs               :      0.000u      0.017s      0.004w   4879 calls
| | DFH: compute_J                  :      9.667u     13.550s      9.570w   4879 calls
| | DFH: compute_K                  :    222.050u     15.533s     46.055w   4879 calls
JK: AO2USO                          :      0.000u      0.000s      0.004w   4879 calls
RV: Form Vx                         :  26527.083u    121.467s   1586.248w   4879 calls
| Properties                        :   1829.027p                         4297974 calls
| Functional                        :   1492.311p                         4297974 calls
| Derivative Properties             :   4621.406p                         12628692 calls
| V_XCd                             :   4637.646p                         12628692 calls

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 15:13:01 2026
Timers Off: Sat Jul 18 17:28:38 2026

Wall Time:     8136.95 seconds

                                                       Time (seconds)
